troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.3750041851510091
1tbedt"bolster"tbedt1.0t-0.011359198384978352
2tbedt"mattress cover"tbedt1.0t0.30244055011872484
3tbedtlegtbedt1.0t0.11878912309238607
4tbedtbox springtbedt1.0t0.1365087176003439
5tbedtheadboardtbedt1.0t0.306863193771774
6tbedt"mattress"tbedt1.0t0.3812531390189067
7tbedt"pillow protector"tbedt1.0t0.20695658059189495
8tbedt"elastic"tbedt1.0t0.061816558803838434
9tbedt"footboard"tbedt1.0t0.2419299048364752
10tbedt"switch"t"refrigerator"t0.0t0.052421919462306774
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.26443311525778324
12tbedt"egg tray"t"refrigerator"t0.0t0.1984531803627037
13tbedtshelf channelt"refrigerator"t0.0t0.13208052545602486
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.0008259389796395711
15tbedt"storage door"t"refrigerator"t0.0t0.1608615613187138
16tbedtfreezer doort"refrigerator"t0.0t0.22950490410828558
17tbedtguard railt"refrigerator"t0.0t0.0844353686611885
18tbedtcrispert"refrigerator"t0.0t0.02535374736702336
19tbedtglass covert"refrigerator"t0.0t0.15023380027979374
20tbedt"butter compartment"t"refrigerator"t0.0t0.15614677400973
21tbedt"thermostat control"t"refrigerator"t0.0t0.13612472064084347
22tbedt"freezer compartment"t"refrigerator"t0.0t0.19130512427555085
23tbedt"ice cube tray"t"refrigerator"t0.0t0.14065899734197057
24tbedt"meat keeper"t"refrigerator"t0.0t0.03825636722808852
25tbedt"door stop"t"refrigerator"t0.0t0.10903896407023937
26tbedtshelft"refrigerator"t0.0t0.1573785867192034
27tbedt"dairy compartment"t"refrigerator"t0.0t0.11364042146653115
28tbedtdoor shelft"refrigerator"t0.0t0.1532933081228191
29tbedtdrain hosetdishwashert0.0t0.18351633655131297
30tbedt"overflow protection switch"tdishwashert0.0t0.08234834853757779
31tbedt"tub"tdishwashert0.0t0.3286653203801009
32tbedtpumptdishwashert0.0t0.08279032410280746
33tbedt"gasket"tdishwashert0.0t0.060546548121899475
34tbedt"water hose"tdishwashert0.0t0.17491156307877254
35tbedt"heating element"tdishwashert0.0t0.05346161319937551
36tbedtracktdishwashert0.0t0.12958148811654707
37tbedt"cutlery basket"tdishwashert0.0t0.16319607288315005
38tbedt"wash tower"tdishwashert0.0t0.17119389535556534
39tbedt"motor"tdishwashert0.0t0.04249146377902073
40tbedt"detergent dispenser"tdishwashert0.0t0.12999185459574467
41tbedtslidetdishwashert0.0t0.027471853068582224
42tbedt"leveling foot"tdishwashert0.0t0.05801404192871044
43tbedt"insulating material"tdishwashert0.0t0.030983527161863884
44tbedtspray armtdishwashert0.0t0.14262119581506214
45tbedtrinse-aid dispensertdishwashert0.0t0.11101439640601592
46tbedtlocktdoort0.0t0.06221825485382728
47tbedtcornicetdoort0.0t0.11760767685784425
